,index,context,question0,question1,question2,question3,answer0,answer1,answer2,answer3
69,80,"181st Street is a major thoroughfare running through the Washington Heights neighborhood. It runs from the Washington Bridge in the east, to the Henry Hudson Parkway in the west, near the George Washington Bridge and the Hudson River. The west end is called Plaza Lafayette.",181st Street runs through what neighborhood?,What is the west end of 181st Street called?,Does Plaza Lafayette refer to the east or west end of 181st Street?,Which river does 181st Street run near?,Washington Heights,Plaza Lafayette,west,Hudson River
70,81,"181st Street is served by two New York City Subway lines; there is a 181st Street station at Fort Washington Avenue on the IND Eighth Avenue Line (A trains) and a 181st Street station at St. Nicholas Avenue on the IRT Broadway â€“ Seventh Avenue Line (1 trains). The stations are about 500 metres (550 yd) from each other and are not connected. The George Washington Bridge Bus Terminal is a couple of blocks south on Fort Washington Avenue. 181st Street is also the last south/west exit in New York on the Trans-Manhattan Expressway (I-95), just before crossing the George Washington Bridge to New Jersey.",How many subway lines serve 181st Street?,How many metres apart are 181st Street's two subway stations?,On what avenue is the George Wasington Bridge Bus Terminal?,Which road is the Trans-Manhattan Expressway's last south/west exit?,two,500,Fort Washington Avenue,181st Street
71,82,"1853: There were four main events. 1. In the north the Turks captured the border fort of Saint Nicholas in a surprise night attack (27/28 October). They then pushed about 20000 troops across the Cholok River border. Being outnumbered the Russians abandoned Poti and Redut Kale and drew back to Marani. Both sides remained immobile for the next seven months. 2. In the center the Turks moved north from Ardahan to within cannon-shot of Akhaltsike and awaited reinforcements (13 November). The Russians routed them. The claimed losses were 4000 Turks and 400 Russians. 3. In the south about 30000 Turks slowly moved east to the main Russian concentration at Gyumri or Alexandropol (November). They crossed the border and set up artillery south of town. Prince Orbeliani tried to drive them off and found himself trapped. The Turks failed to press their advantage, the remaining Russians rescued Orbeliani and the Turks retired west. Orbeliani lost about 1000 men out of 5000. The Russians now decided to advance, the Turks took up a strong position on the Kars road and attacked. They were defeated in the battle of BaÅŸgedikler, losing 6000 men, half their artillery and all their supply train. The Russians lost 1300, including Prince Orbeliani. This was Prince Ellico Orbeliani whose wife was later kidnaped by Shamyl at Tsinandali. 4. At sea the Turks sent a fleet east which was destroyed by Admiral Nakhimov at Sinope.",Who captured the border front of Saint Nicholas during a night attack?,How many troops did the Turks have when crossing the Cholok River?,"After giving up their position at Poti and Redut Kale, where did the Russians retreat to?",How many troops did the Turks send to Gyumri?,the Turks,20000 troops,Marani,30000
72,83,"1855: Georgian coast: Omar Pasha, the Turkish commander at Crimea had long wanted to land in Georgia, but the western powers vetoed it. When they relented in August most of the campaigning season was lost. In September 8000 Turks landed at Batum, but the main concentration was at Sukhum Kale. This required a 100-mile march south through a country with poor roads. The Russians planned to hold the line of the Ingur River which separates Abkhazia from Georgia proper. Omar crossed the Ingur on 7 November and then wasted a great deal of time, the Russians doing little. By 2 December he had reached the Tskhenis-dzqali, the rainy season had started, his camps were submerged in mud and there was no bread. Learning of the fall of Kars he withdrew to the Ingur. The Russians did nothing and he evacuated to Batum in February of the following year.",Who vetoed Omar Pasha from landing in Georgia?,"In September of 1855, how many Turks could be found at Batum?","When landing at Batum, what were the Turks primary focus?",What river divides Abkhazia from Georgia?,the western powers,8000,Sukhum Kale,the Ingur River
73,84,"1855:Kars: In the year up to May 1855 Turkish forces in the east were reduced from 120,000 to 75,000, mostly by disease. The local Armenian population kept Muravyev well-informed about the Turks at Kars and he judged they had about five months of supplies. He therefore decided to control the surrounding area with cavalry and starve them out. He started in May and by June was south and west of the town. A relieving force fell back and there was a possibility of taking Erzerum, but Muravyev chose not to. In late September he learned of the fall of Sevastopol and a Turkish landing at Batum. This led him to reverse policy and try a direct attack. It failed, the Russians losing 8000 men and the Turks 1500 (29 September). The blockade continued and Kars surrendered on 8 November.",What caused the number of Turkish soldiers to decrease?,How man troops were the Turks forces in the east reduced to? ,Who kept Muravyev informed about the Turks at Kar?,What did Muravyev attend to do to the Turks in order to defeat them?,disease,"75,000",The local Armenian population,starve them out
74,85,"187th Street crosses Washington Heights and running from Laurel Hill Terrace in the east to Chittenden Avenue in the west near the George Washington Bridge and Hudson River. The street is interrupted by a long set of stairs east of Fort Washington Avenue leading to the Broadway valley. West of there, it is mostly lined with store fronts and serves as a main shopping district for the Hudson Heights neighborhood.",187th Street runs from Laurel Hill Terrace in the east to which avenue in the west?,What is 187th Street interrupted by?,Where do the stairs interrupting 187th street lead to?,An area of 187th Street serves as the main shopping district for which neighborhood?,Chittenden Avenue,stairs,Broadway valley,Hudson Heights
75,88,"18th century governors tried to tackle the island's problems by implementing tree plantation, improving fortifications, eliminating corruption, building a hospital, tackling the neglect of crops and livestock, controlling the consumption of alcohol and introducing legal reforms. From about 1770, the island enjoyed a lengthy period of prosperity. Captain James Cook visited the island in 1775 on the final leg of his second circumnavigation of the world. St. James' Church was erected in Jamestown in 1774 and in 1791â€“92 Plantation House was built, and has since been the official residence of the Governor.",When did the Island start to experience a period of prosperity?,What captain visited the island in 1775 on their trip around the world?,What church was erected in Jamestown in 1774?,What is the official residence of the governor?,1770,James Cook,St. James' Church,Plantation House
76,89,"19 Recordings, a recording label owned by 19 Entertainment, currently hold the rights to phonographic material recorded by all the contestants. 19 originally partnered with Bertelsmann Music Group (BMG) to promote and distribute the recordings through its labels RCA Records, Arista Records, J Records, Jive Records. In 2005-2007, BMG partnered with Sony Music Entertainment to form a joint venture known as Sony BMG Music Entertainment. From 2008-2010, Sony Music handled the distribution following their acquisition of BMG. Sony Music was partnered with American Idol and distribute its music, and In 2010, Sony was replaced by as the music label for American Idol by UMG's Interscope-Geffen-A&M Records.",What company has the right to all recordings from contestants on American Idol?,What company took over as American Idols music label in 2010?,What company had released music from American Idol in addition to Sony Music Entertainment? ,Who owns 19 Recordings?,19 Recordings,UMG,BMG,19 Entertainment
77,90,"2010s saw multiple new sounds in house music developed by numerous DJs. Sweden knew a prominence of snare-less ""Swedish progressive house"" with the emergence of Sebastian Ingrosso, Axwell, Steve Angello (These three formed a trio called Swedish House Mafia), Avicii, Alesso, etc. Netherlands brought together a concept of ""Dirty Dutch"", electro house subgenre characterized by very abrasive leads and darker arpeggios, with prominent DJs Chuckie, Hardwell, Laidback Luke, Afrojack, R3hab, Bingo Players, Quintino, Alvaro, Cedric Gervais, 2G, etc. Elsewhere, fusion genres derivative of 2000s progressive house returned to prominence, especially with the help of DJs Calvin Harris, Eric Prydz, Mat Zo, Above & Beyond and Fonzerelli in Europe, Deadmau5, Kaskade, Steve Aoki, Porter Robinson and Wolfgang Gartner in the US and Canada. The growing popularity of such artists led to the emergence of electro house and progressive house blended sounds in popular music, such as singles Lady Gaga's ""Marry the Night"", The Black Eyed Peas' ""The Best One Yet (The Boy)"" and the will.i.am and Britney Spears ""Scream & Shout"". Big room house found increasing popularity since 2010, particularly through international dance music festivals such as Tomorrowland, Ultra Music Festival, and Electric Daisy Carnival.",What was different about swedish progressive house music?,"Sebastian Ingrosso, Axwell, and Steve Angello formed what successful trio?",What concept is characterized by abrasive leads and darker arpeggios?,"Progressive house blended sounds were prominent in the song ""Marry the Night"" by what popular artist?",snare-less,Swedish House Mafia,Dirty Dutch,Lady Gaga
78,91,"20th Street starts at Avenue C, and 21st and 22nd Streets begin at First Avenue. They all end at Eleventh Avenue. Travel on the last block of the 20th, 21st and 22nd Streets, between Tenth and Eleventh Avenues, is in the opposite direction than it is on the rest of the respective street. 20th Street is very wide from the Avenue C to First Avenue.",Where does 10th Street start?,At which Avenue do 21st and 22nd Streets begin?,What is different about 20th Street between Avenue C and First Avenue?,Which street is much wider from Avenue C to First Avenue?,Avenue C,First,very wide,20th Street
79,93,"220th Street is the highest numbered street on Manhattan Island. Marble Hill is also within the borough of Manhattan, so the highest street number in the borough is 228th Street. However, the numbering continues in the Bronx up to 263rd Street. The lowest number is East First Streetâ€”which runs in Alphabet City near East Houston Streetâ€”as well as First Place in Battery Park City.",What is the highest numbered street on Manhattan Island?,What is the highest street number within the borough of Manhattan?,What is the highest street number in the Bronx?,Where is First Place located?,220th Street,228,263,Battery Park City
80,94,"23-year-old Candice Glover won the season with Kree Harrison taking the runner-up spot. Glover is the first female to win American Idol since Jordin Sparks. Glover released ""I Am Beautiful"" as a single while Harrison released ""All Cried Out"" immediately after the show. Glover sold poorly with her debut album, and this is also the first season that the runner-up was not signed by a music label.",Who was the winner of American Idols twelfth season?,Which contestant came in second on season 12 of American Idol?,What was the first song released by Candice Glover after winning American Idol?,What song did Kree Harrison first release after being on American Idol?,Candice Glover,Kree Harrison,I Am Beautiful,All Cried Out
81,95,23rd Street is another main numbered street in Manhattan. It begins at FDR Drive and ends at Eleventh Avenue. Its length is 3.1 km/1.9m. It has two-way travel. On 23rd Street there are five local subway stations:,Where does 23rd Street begin?,Where does 23rd Street end?,What is the length of 23rd Street in kilometers?,Does traffic move in one or two ways on 23rd Street?,FDR Drive,Eleventh Avenue,3.1 km,two-way
82,96,"24th Street is in two parts. 24th Street starts at First Avenue and it ends at Madison Avenue, because of Madison Square Park. 25th Street, which is in three parts, starts at FDR Drive, is a pedestrian plaza between Third Avenue and Lexington Avenue, and ends at Madison. Then West 24th and 25th Streets continue from Fifth Avenue to Eleventh Avenue (25th) or Twelfth Avenue (24th).",Which street is a pedestrian plaza between Third Avenue and Lexington Avenue?,Where does 24th street start?,Which park is at the end of 24th Street and Madison Avenue?,Where does 25th Street end?,25th Street,First Avenue,Madison Square Park,Madison
83,97,"26 March 1991 is the day that marks the clash between military soldiers and peaceful demonstrating students which climaxed in the massacre of dozens under the orders of then President Moussa TraorÃ©. He and three associates were later tried and convicted and received the death sentence for their part in the decision-making of that day. Nowadays, the day is a national holiday in order to remember the tragic events and the people that were killed.[unreliable source?] The coup is remembered as Mali's March Revolution of 1991.",Who was president during the March protests?,How many people aside from the president received a death sentence? ,What day is now a National holiday in connection to Moussa TraorÃ©?,All four men were convicted and received what as punishment?,Moussa TraorÃ©,three associates,26-Mar,death sentence
84,98,"27th Street is a one-way street runs from Second Avenue to the West Side Highway with an interruption between Eighth Avenue and Tenth Avenue. It is most noted for its strip between Tenth and Eleventh Avenues, known as Club Row because it features numerous nightclubs and lounges.",Which street does Club Row occur on?,Which strip is known for its numerous nightclubs and lounges?,What is the strip of 27th Street between Tenth and Eleventh Avenues known as?,Does traffuc on 27th Street run one-way or two-ways?,27th Street,Club Row,Club Row,one-way
85,99,"3 kV DC is used in Belgium, Italy, Spain, Poland, the northern Czech Republic, Slovakia, Slovenia, South Africa, Chile, and former Soviet Union countries (also using 25 kV 50 Hz AC). It was formerly used by the Milwaukee Road from Harlowton, Montana to Seattle-Tacoma, across the Continental Divide and including extensive branch and loop lines in Montana, and by the Delaware, Lackawanna & Western Railroad (now New Jersey Transit, converted to 25 kV AC) in the United States, and the Kolkata suburban railway (Bardhaman Main Line) in India, before it was converted to 25 kV 50 Hz AC.",What voltage is being used in railway system of South Africa and Chile?,Besides using 3kV DC what other power type is used in the former Soviet Union countries?,What was New Jersey Transit called before?,What does the railway system of US use DC or AC?,3 kV DC,25 kV 50 Hz AC,Western Railroad,AC
86,100,"31st Street begins on the West Side at the West Side Yard, while 32nd Street, which includes a segment officially known as Korea Way between Fifth Avenue and Broadway in Manhattan's Koreatown, begins at the entrance to Penn Station and Madison Square Garden. On the East Side, both streets end at Second Avenue at Kips Bay Towers and NYU Medical Center which occupy the area between 30th and 34th Streets. The Catholic church of St. Francis of Assisi is situated at 135â€“139 West 31st Street. At 210 West is the Capuchin Monastery of St. John the Baptist, part of St. John the Baptist Church on 30th Street. At the corner of Broadway and West 31st Street is the Grand Hotel. The former Hotel Pierrepont was located at 43 West 32nd Street, The Continental NYC tower is at the corner of Sixth Avenue and 32nd Street. 29 East 32nd Street was the location of the first building owned by the Grolier Club between 1890 and 1917.",Where does 31st Street begin?,Which church is situated at 135-139 West 31st Street?,Who owned the building at 29 East 32nd Street between 1890 and 1917?,The corner of Broadway and West 31st Street is home to what business?,West Side Yard,Catholic church of St. Francis of Assisi,Grolier Club,Grand Hotel
87,101,"35th Street runs from FDR Drive to Eleventh Avenue. Notable locations include East River Ferry, LaptopMD headquarters, Mercy College Manhattan Campus, and Jacob K. Javits Convention Center.",Where does 35th Street begin?,Where does 35th Street end?,On which street does LaptopMD headquarters sit?,On which street is the Jacob K. Javits Convention Center located?,FDR Drive,Eleventh Avenue,35th Street,35th Street
88,102,"40Â°48â€²27â€³N 73Â°57â€²18â€³Wï»¿ / ï»¿40.8076Â°N 73.9549Â°Wï»¿ / 40.8076; -73.9549 120th Street traverses the neighborhoods of Morningside Heights, Harlem, and Spanish Harlem. It begins on Riverside Drive at the Interchurch Center. It then runs east between the campuses of Barnard College and the Union Theological Seminary, then crosses Broadway and runs between the campuses of Columbia University and Teacher's College. The street is interrupted by Morningside Park. It then continues east, eventually running along the southern edge of Marcus Garvey Park, passing by 58 West, the former residence of Maya Angelou. It then continues through Spanish Harlem; when it crosses Pleasant Avenue it becomes a twoâ€‘way street and continues nearly to the East River, where for automobiles, it turns north and becomes Paladino Avenue, and for pedestrians, continues as a bridge across FDR Drive.",On which road does 120th Street begin?,The Interchurch Center is the start of which street?,Morningside Park interrupts which street?,Who formerly lived at 58 West?,Riverside Drive,120th Street,120th Street,Maya Angelou
89,103,"40Â°48â€²32â€³N 73Â°57â€²14â€³Wï»¿ / ï»¿40.8088Â°N 73.9540Â°Wï»¿ / 40.8088; -73.9540 122nd Street is divided into three noncontiguous segments, E 122nd Street, W 122nd Street, and W 122nd Street Seminary Row, by Marcus Garvey Memorial Park and Morningside Park.",Which memorial park divides 122nd Street?,Which park divides 122nd Street along with Marcus Garvey Memorial Park?,How many segments is 122nd Street divided into?,Are 122nd Street's three segments contiguous or noncontiguous?,Marcus Garvey,Morningside Park,three,noncontiguous
90,104,"40Â°48â€²47â€³N 73Â°57â€²27â€³Wï»¿ / ï»¿40.813Â°N 73.9575Â°Wï»¿ / 40.813; -73.9575 La Salle Street is a street in West Harlem that runs just two blocks between Amsterdam Avenue and Claremont Avenue. West of Convent Avenue, 125th Street was re-routed onto the old Manhattan Avenue. The original 125th Street west of Convent Avenue was swallowed up to make the super-blocks where the low income housing projects now exist. La Salle Street is the only vestige of the original routing.",Which street in West Harlem runs just two blocks between Amersterdam Avenue and Claremont Avenue?,La Salle Street runs between Amsterdam Avenue and which other Avenue?,In which neighborhood does La Salle Street run?,Which street was swallowed up to make low income housing projects?,La Salle Street,Claremont,West Harlem,125th Street
91,105,"40Â°48â€²52â€³N 73Â°56â€²53â€³Wï»¿ / ï»¿40.814583Â°N 73.947944Â°Wï»¿ / 40.814583; -73.947944 132nd Street runs east-west above Central Park and is located in Harlem just south of Hamilton Heights. The main portion of 132nd Street runs eastbound from Frederick Douglass Boulevard to northern end of Park Avenue where there is a southbound exit from/entrance to the Harlem River Drive. After an interruption from St. Nicholas Park and City College, there is another small stretch of West 132nd Street between Broadway and Twelfth Avenue",There is a small stretch of what road between Broadway and Twelfth Avenue?,The main portion of what road runs eastbound from Frederick Douglass Boulevard to Park Avenue?,On what Avenue is a southbound exit and entrance to the Harlem River Drive?,West 132nd Street is interrupted by St. Nicholas Park and which college?,West 132nd Street,132nd Street,Park Avenue,City College
92,106,"48 of Switzerland's mountains are 4,000 metres (13,000 ft) above sea in altitude or higher. At 4,634 m (15,203 ft), Monte Rosa is the highest, although the Matterhorn (4,478 m or 14,692 ft) is often regarded as the most famous. Both are located within the Pennine Alps in the canton of Valais. The section of the Bernese Alps above the deep glacial Lauterbrunnen valley, containing 72 waterfalls, is well known for the Jungfrau (4,158 m or 13,642 ft) Eiger and MÃ¶nch, and the many picturesque valleys in the region. In the southeast the long Engadin Valley, encompassing the St. Moritz area in canton of GraubÃ¼nden, is also well known; the highest peak in the neighbouring Bernina Alps is Piz Bernina (4,049 m or 13,284 ft).",What is the highest mountain in Switzerland?,What is often regarded as the most famous mountain in Switzerland?,How many of Switzerland's mountains are at least 4000 meters above sea level?,Where are both Monte Rosa and Matterhorn located?,Monte Rosa,Matterhorn,48,Pennine Alps in the canton of Valais
93,107,"50 Hz systems support three scanning rates: 50i, 25p and 50p. 60 Hz systems support a much wider set of frame rates: 59.94i, 60i, 23.976p, 24p, 29.97p, 30p, 59.94p and 60p. In the days of standard definition television, the fractional rates were often rounded up to whole numbers, e.g. 23.976p was often called 24p, or 59.94i was often called 60i. 60 Hz high definition television supports both fractional and slightly different integer rates, therefore strict usage of notation is required to avoid ambiguity. Nevertheless, 29.97i/59.94i is almost universally called 60i, likewise 23.976p is called 24p.",What three scanning rates do 50 Hz systems support?,"Which system suports 59.94i, 60i, 23.976p, 24p, 29.97p, 30p, 59.94p, and 60p",SD television fractional rates were often rounded to what?,Strict notation is required with HD fractional rates to avoid what?,"50i, 25p and 50p",60 Hz,whole numbers,ambiguity
94,108,"58.1% of the population described themselves in the 2011 census return as being at least nominally Christian and 0.8% as Muslim with all other religions represented by less than 0.5% each. The portion of people without a religion is 32.9%; above the national average of 24.7%. 7.1% did not state their religious belief. Since the 2001 Census, the number of Christians and Jews has decreased (-16% and -7% respectively), while all other religions have increased and non-religious people have almost doubled in number.",What percentage of Plymouth's population call themselves Christian?,What percentage of Plymouth residents follow Islam?,What percentage of Plymouth consists of non-religious people?,What percentage of people in the United Kingdom describe themselves as non-religious?,58.10%,0.80%,32.90%,24.70%
95,110,"64Zn, the most abundant isotope of zinc, is very susceptible to neutron activation, being transmuted into the highly radioactive 65Zn, which has a half-life of 244 days and produces intense gamma radiation. Because of this, Zinc Oxide used in nuclear reactors as an anti-corrosion agent is depleted of 64Zn before use, this is called depleted zinc oxide. For the same reason, zinc has been proposed as a salting material for nuclear weapons (cobalt is another, better-known salting material). A jacket of isotopically enriched 64Zn would be irradiated by the intense high-energy neutron flux from an exploding thermonuclear weapon, forming a large amount of 65Zn significantly increasing the radioactivity of the weapon's fallout. Such a weapon is not known to have ever been built, tested, or used. 65Zn is also used as a tracer to study how alloys that contain zinc wear out, or the path and the role of zinc in organisms.",What is the most abundant zinc isotope?,What does 65Zn produce?,Why is zinc oxide used in nuclear reactors?,What is used to study how alloys containing zinc wear out?,64Zn,intense gamma radiation,anti-corrosion agent,65Zn
96,111,"6th-century BCE pre-Socratic Greek philosophers Thales of Miletus and Xenophanes of Colophon were the first in the region to attempt to explain the world in terms of human reason rather than myth and tradition, thus can be said to be the first Greek humanists. Thales questioned the notion of anthropomorphic gods and Xenophanes refused to recognise the gods of his time and reserved the divine for the principle of unity in the universe. These Ionian Greeks were the first thinkers to assert that nature is available to be studied separately from the supernatural realm. Anaxagoras brought philosophy and the spirit of rational inquiry from Ionia to Athens. Pericles, the leader of Athens during the period of its greatest glory was an admirer of Anaxagoras. Other influential pre-Socratics or rational philosophers include Protagoras (like Anaxagoras a friend of Pericles), known for his famous dictum ""man is the measure of all things"" and Democritus, who proposed that matter was composed of atoms. Little of the written work of these early philosophers survives and they are known mainly from fragments and quotations in other writers, principally Plato and Aristotle. The historian Thucydides, noted for his scientific and rational approach to history, is also much admired by later humanists. In the 3rd century BCE, Epicurus became known for his concise phrasing of the problem of evil, lack of belief in the afterlife, and human-centred approaches to achieving eudaimonia. He was also the first Greek philosopher to admit women to his school as a rule.",Who was one of the first Greeks to adopt a humanistic outlook?,Where did this type of thinking next travel to?,Who first introduced the idea that matter is made of atoms?,Who was the first person to provide education opportunities to females?,Thales of Miletus,Athens,Democritus,Epicurus
97,112,"808s & Heartbreak, which features extensive use of the eponymous Roland TR-808 drum machine and contains themes of love, loneliness, and heartache, was released by Island Def Jam to capitalize on Thanksgiving weekend in November 2008. Reviews were positive, though slightly more mixed than his previous efforts. Despite this, the record's singles demonstrated outstanding chart performances. Upon its release, the lead single ""Love Lockdown"" debuted at number three on the Billboard Hot 100 and became a ""Hot Shot Debut"", while follow-up single ""Heartless"" performed similarly and became his second consecutive ""Hot Shot Debut"" by debuting at number four on the Billboard Hot 100. While it was criticized prior to release, 808s & Heartbreak had a significant effect on hip-hop music, encouraging other rappers to take more creative risks with their productions.",What label pushed out Kanye's fourth studio album?,"Which album by Kanye West featured the song ""Love Lockdown""?",808s & Heartbreak was released by what company? ,When was 808s & Heartbreaks released? ,Island Def Jam,808s & Heartbreak,Island Def Jam,8-Nov
98,113,"83% of the total population adheres to Christianity, making it the most common religion in Swaziland. Anglican, Protestant and indigenous African churches, including African Zionist, constitute the majority of the Christians (40%), followed by Roman Catholicism at 20% of the population. On 18 July 2012, Ellinah Wamukoya, was elected Anglican Bishop of Swaziland, becoming the first woman to be a bishop in Africa. 15% of the population follows traditional religions; other non-Christian religions practised in the country include Islam (1%), the BahÃ¡'Ã­ Faith (0.5%), and Hinduism (0.2%). There are 14 Jewish families.",What percentage of the Swazi population are Christian?,Which religious belief is most prevelant in Swaziland?,What amount of Swazi Christians are Roman Catholic?,Who is the Anglican Bishop of Swaziland?,83%,Christianity,20%,Ellinah Wamukoya
99,114,"8th and 9th Streets run parallel to each other, beginning at Avenue D, interrupted by Tompkins Square Park at Avenue B, resuming at Avenue A and continuing to Sixth Avenue. West 8th Street is an important local shopping street. 8th Street between Avenue A and Third Avenue is called St Mark's Place, but it is counted in the length below.",West 8th Street is an important local street for what activity?,8th Street between Avenue A and Third Avenue is called what?,Where do 8th and 9th Streets begin?,Where do 8th and 9th Streets end?,shopping,St Mark's Place,Avenue D,Sixth Avenue
100,115,"90th Street is split into two segments. The first segment, West 90th Street begins at Riverside Drive and ends at Central Park West or West Drive, when it is open, in Central Park on the Upper West Side. The second segment of East 90th Street begins at East Drive, at Engineers Gate of Central Park. When East Drive is closed, East 90th Street begins at Fifth Avenue on the Upper East Side and curves to the right at the FDR Drive becoming East End Avenue. Our Lady of Good Counsel Church, is located on East 90th Street between Third Avenue and Second Avenue, across the street from Ruppert Towers (1601 and 1619 Third Avenue) and Ruppert Park. Asphalt Green, which is located on East 90th Street between York Avenue and East End Avenue.","Which street begins at East Drive, at Engineers Gate of Central Park?",Which church is located on East 90th Street between Second and Third Avenue?,Which towers are located at 1601 and 1619 Third Avenue?,What is located on East 90th Street between York Avenue and East End Avenue?,East 90th Street,Our Lady of Good Counsel Church,Ruppert Towers,Asphalt Green
101,118,"A ""grand"", sometimes shortened to simply ""G"", is a common term for the amount of $1,000. The suffix ""K"" or ""k"" (from ""kilo-"") is also commonly used to denote this amount (such as ""$10k"" to mean $10,000). However, the $1,000 note is no longer in general use. A ""large"" or ""stack"", it is usually a reference to a multiple of $1,000 (such as ""fifty large"" meaning $50,000). The $100 note is nicknamed ""Benjamin"", ""Benji"", ""Ben"", or ""Franklin"" (after Benjamin Franklin), ""C-note"" (C being the Roman numeral for 100), ""Century note"" or ""bill"" (e.g. ""two bills"" being $200). The $50 note is occasionally called a ""yardstick"" or a ""grant"" (after President Ulysses S. Grant, pictured on the obverse). The $20 note is referred to as a ""double sawbuck"", ""Jackson"" (after Andrew Jackson), or ""double eagle"". The $10 note is referred to as a ""sawbuck"", ""ten-spot"" or ""Hamilton"" (after Alexander Hamilton). The $5 note as ""Lincoln"", ""fin"", ""fiver"" or ""five-spot"". The infrequently-used $2 note is sometimes called ""deuce"", ""Tom"", or ""Jefferson"" (after Thomas Jefferson). The $1 note as a ""single"" or ""buck"". The dollar has also been, referred to as a ""bone"" and ""bones"" in plural (e.g. ""twenty bones"" is equal to $20). The newer designs, with portraits displayed in the main body of the obverse rather than in cameo insets upon paper color-coded by denomination, are sometimes referred to as ""bigface"" notes or ""Monopoly money"".","What is a ""grand"" sometimes shortened to?","What is another term other than ""large"" that means a stack of mutiple thousands?","What is a ""C-note"" a reference to?","Which note is occasionally called a ""yardstick""?","""G""","""stack""",the Roman numeral for 100,$50 
102,119,"A ""lock-in"" is when a pub owner lets drinkers stay in the pub after the legal closing time, on the theory that once the doors are locked, it becomes a private party rather than a pub. Patrons may put money behind the bar before official closing time, and redeem their drinks during the lock-in so no drinks are technically sold after closing time. The origin of the British lock-in was a reaction to 1915 changes in the licensing laws in England and Wales, which curtailed opening hours to stop factory workers from turning up drunk and harming the war effort. Since 1915, the UK licensing laws had changed very little, with comparatively early closing times. The tradition of the lock-in therefore remained. Since the implementation of Licensing Act 2003, premises in England and Wales may apply to extend their opening hours beyond 11 pm, allowing round-the-clock drinking and removing much of the need for lock-ins. Since the smoking ban, some establishments operated a lock-in during which the remaining patrons could smoke without repercussions but, unlike drinking lock-ins, allowing smoking in a pub was still a prosecutable offence.",What is it called when the owner of a pub allows patrons to remain when the pub should have closed?,What law allows pubs to apply to extend their closing hours after 11pm?,"A law of what year prompted the existence of the ""lock-in""?",What action by a pub owner can result in his prosecution?,"""lock-in""",Licensing Act 2003,1915,allowing smoking
103,120,"A ""tag"" in an audio file is a section of the file that contains metadata such as the title, artist, album, track number or other information about the file's contents. The MP3 standards do not define tag formats for MP3 files, nor is there a standard container format that would support metadata and obviate the need for tags.",What is a section of a file that contains metadeta referred to as?,"What else can metadeta contain other than the title, artist or track  number?",What do MP3 standards not define?,What would be needed to support metadata and obviate the need for tags?,tag,album,tag formats for MP3 files,a standard container format
104,121,"A 2000 United States Department of the Treasury study of lending trends for 305 cities from 1993 to 1998 showed that $467 billion of mortgage lending was made by Community Reinvestment Act (CRA)-covered lenders into low and mid level income (LMI) borrowers and neighborhoods, representing 10% of all U.S. mortgage lending during the period. The majority of these were prime loans. Sub-prime loans made by CRA-covered institutions constituted a 3% market share of LMI loans in 1998, but in the run-up to the crisis, fully 25% of all sub-prime lending occurred at CRA-covered institutions and another 25% of sub-prime loans had some connection with CRA. In addition, an analysis by the Federal Reserve Bank of Dallas in 2009, however, concluded that the CRA was not responsible for the mortgage loan crisis, pointing out that CRA rules have been in place since 1995 whereas the poor lending emerged only a decade later. Furthermore, most sub-prime loans were not made to the LMI borrowers targeted by the CRA, especially in the years 2005â€“2006 leading up to the crisis. Nor did it find any evidence that lending under the CRA rules increased delinquency rates or that the CRA indirectly influenced independent mortgage lenders to ramp up sub-prime lending.",What was the value of mortgage lending made by Community Reinvestment Act covered lenders to low and mid level income borrowers and neighborhoods from 1993-1998?,What percent of mortgage lending was made by Community Reinvestment Act covered lenders from 1993 to 1998?,What does CRA stand for?,What percent of sub-prime lending occurred at CRA-covered institutions in the run-up to the financial crisis?,$467 billion,10%,Community Reinvestment Act,25%
105,122,"A 2001 study by Nebel et al. showed that both Ashkenazi and Sephardic Jewish populations share the same overall paternal Near Eastern ancestries. In comparison with data available from other relevant populations in the region, Jews were found to be more closely related to groups in the north of the Fertile Crescent. The authors also report on Eu 19 (R1a) chromosomes, which are very frequent in Central and Eastern Europeans (54%â€“60%) at elevated frequency (12.7%) in Ashkenazi Jews. They hypothesized that the differences among Ashkenazim Jews could reflect low-level gene flow from surrounding European populations and/or genetic drift during isolation. A later 2005 study by Nebel et al., found a similar level of 11.5% of male Ashkenazim belonging to R1a1a (M17+), the dominant Y-chromosome haplogroup in Central and Eastern Europeans.",A 2001 study by Nebel et al. showed that which two populations share the same overall paternal Near Eastern ancestries?,Levels of the Eu 19 (R1a) chromosome are typically seen between what two percentages in Central and Eastern Europeans?,Levels of the Eu 19 (R1a) chromosome were seen in what percentage of the Ashkenazi Jewish population?,The difference in percentages of the levels of Eu 19 (R1a) chromosomes between Central and Eastern Europeans and the Ashkenazi population would indicate what?,Ashkenazi and Sephardic Jewish populations,54%â€“60%,12.70%,low-level gene flow from surrounding European populations and/or genetic drift during isolation
